question,course,document
Where can I find the most current deadlines for homework and projects in this course?,data-engineering-zoomcamp,f36d7204
How will I be notified if there are extensions to assignment deadlines?,data-engineering-zoomcamp,f36d7204
What resource should I check to ensure I have the updated project due dates?,data-engineering-zoomcamp,f36d7204
Can the form on the provided link show the new deadlines if they are updated?,data-engineering-zoomcamp,f36d7204
Whose announcements should I follow for any updates regarding homework deadlines?,data-engineering-zoomcamp,f36d7204
Can I still submit homework if the form is open after the deadline?,data-engineering-zoomcamp,e3df6811
Are there any circumstances under which late homework submissions are accepted?,data-engineering-zoomcamp,e3df6811
What should I do if I miss the homework submission deadline but the form remains open?,data-engineering-zoomcamp,e3df6811
How can I verify the submission time for my homework on the Course page?,data-engineering-zoomcamp,e3df6811
"If I submit homework after the due date, how is the submission time confirmed?",data-engineering-zoomcamp,e3df6811
What platform can I use to submit my code assignments?,data-engineering-zoomcamp,becb6e0a
Where should I host my project files for homework?,data-engineering-zoomcamp,becb6e0a
What is considered an appropriate location for my homework code?,data-engineering-zoomcamp,becb6e0a
Is using Bitbucket acceptable for hosting my coursework code?,data-engineering-zoomcamp,becb6e0a
Can I submit my assignments through GitHub?,data-engineering-zoomcamp,becb6e0a
How are homework submissions graded and how can I see the corresponding points?,data-engineering-zoomcamp,64dedfb6
Where can I find the total sum of points I've earned in the course?,data-engineering-zoomcamp,64dedfb6
How many points do I receive for contributing to the FAQ?,data-engineering-zoomcamp,64dedfb6
How are points for Learning in Public calculated?,data-engineering-zoomcamp,64dedfb6
Where on the course management platform can I view my homework scores?,data-engineering-zoomcamp,64dedfb6
How can I find out what my display name is on the leaderboard?,data-engineering-zoomcamp,54b71c9d
Where do I go to check and change my display name for the leaderboard?,data-engineering-zoomcamp,54b71c9d
What is the process for viewing my assigned random name on the leaderboard?,data-engineering-zoomcamp,54b71c9d
How do I determine my position on the leaderboard?,data-engineering-zoomcamp,54b71c9d
How can I access the leaderboard to see if I'm listed?,data-engineering-zoomcamp,54b71c9d
Is Python 3.9 still advised for use in 2024 for the course?,data-engineering-zoomcamp,5a64f1bc
Can I use Python 3.10 for this course without issues?,data-engineering-zoomcamp,5a64f1bc
Is it possible to follow the course material with Python 3.11?,data-engineering-zoomcamp,5a64f1bc
Why should I use Python 3.9 for stability during the course?,data-engineering-zoomcamp,5a64f1bc
Will Python 3.10 and 3.11 work for troubleshooting with the videos?,data-engineering-zoomcamp,5a64f1bc
Should I set up my environment on my local machine or a virtual machine?,data-engineering-zoomcamp,eddfc068
What are some challenges I might face using my local machine for the course?,data-engineering-zoomcamp,eddfc068
How can I start setting up a virtual machine for the course?,data-engineering-zoomcamp,eddfc068
Why might someone choose to use a virtual machine over a local setup?,data-engineering-zoomcamp,eddfc068
Is Docker necessary if I choose to work locally on my machine?,data-engineering-zoomcamp,eddfc068
Does GitHub Codespaces provide pre-installed Linux resources for development?,data-engineering-zoomcamp,a71a22a7
Is it possible to open a GitHub repository using GitHub Codespaces?,data-engineering-zoomcamp,a71a22a7
Can GitHub Codespaces be used as an alternative to command line tools like Git Bash?,data-engineering-zoomcamp,a71a22a7
Are tools like Docker and Python pre-installed in GitHub Codespaces?,data-engineering-zoomcamp,a71a22a7
What computing resources are available in GitHub Codespaces?,data-engineering-zoomcamp,a71a22a7
Can I choose my own setup instead of using GitHub codespaces?,data-engineering-zoomcamp,c322702f
Is it mandatory to work on GitHub codespaces for this course?,data-engineering-zoomcamp,c322702f
Do I have to use GitHub codespaces if I already have the necessary software?,data-engineering-zoomcamp,c322702f
Am I restricted to using only GitHub codespaces or GCP VM for the course?,data-engineering-zoomcamp,c322702f
Is it possible to complete the course without using GitHub codespaces?,data-engineering-zoomcamp,c322702f
Is it necessary to use both GitHub Codespaces and GCP for my project?,data-engineering-zoomcamp,79a36f9c
Should I prioritize learning BigQuery for this course?,data-engineering-zoomcamp,79a36f9c
Can I set up a local environment instead of using GitHub Codespaces?,data-engineering-zoomcamp,79a36f9c
Which platform is recommended if BigQuery is part of the curriculum?,data-engineering-zoomcamp,79a36f9c
Is it sufficient to choose just one platform between GCP and Codespaces?,data-engineering-zoomcamp,79a36f9c
